,Description,Division,EndTime,Location,OBJECTID,Recurrence,StartTime,Title,created_date,created_user,last_edited_date,last_edited_user,Simple Location,Latitude,Longitude
126,<div></div>,Metro Division,2098-09-15T10:00:00.000Z,(Harvest Center) 1800 Brewton Dr,227,true,2015-07-20T10:00:00.000Z,Genesis Park Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1800+brewton+dr,+Charlotte,+NC",35.248101,-80.8420835
127,"<div>(Metro Contacts) Officer Blackwood - <a href=""mailto:pblackwood@cmpd.org"">pblackwood@cmpd.org</a> </div>
<div>Officer McTigue - <a href=""mailto:gmctigue@cmpd.org"">gmctigue@cmpd.org</a></div>
<div>&nbsp;</div>",Metro Division,2015-07-20T19:30:00.000Z,(Harvest Center) 1800 Brewton Dr,228,true,2015-07-20T18:30:00.000Z,Genesis Park Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1800+brewton+dr,+Charlotte,+NC",35.248101,-80.8420835
128,"<div>(Metro Contacts) Officer Blackwood - <a href=""mailto:pblackwood@cmpd.org"">pblackwood@cmpd.org</a></div>
<div>Officer McTigue - <a href=""mailto:gmctigue@cmpd.org"">gmctigue@cmpd.org</a></div>
<div>&nbsp;</div>",Metro Division,2015-07-06T20:00:00.000Z,(Walls Memorial Church) 2722 Bancroft St,229,true,2015-07-06T19:00:00.000Z,Graham Heights Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2722+bancroft+st,+Charlotte,+NC",35.2548236,-80.822251
129,"<div>(Metro Contacts) Officer Blackwood - <a href=""mailto:pblackwood@cmpd.org"">pblackwood@cmpd.org</a></div>
<div>Officer McTigue - <a href=""mailto:gmctigue@cmpd.org"">gmctigue@cmpd.org</a></div>
<div>&nbsp;</div>",Metro Division,2015-07-13T20:00:00.000Z,(Jesus Christ Gospel Church) 210 Plymouth Ave ,232,true,2015-07-13T19:00:00.000Z,Lockwood Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"210+plymouth+ave,+Charlotte,+NC",35.240496,-80.827962
130,"<div>(Metro Contacts) Officer Blackwood - <a href=""mailto:pblackwood@cmpd.org"">pblackwood@cmpd.org</a> </div>
<div>Officer McTigue - <a href=""mailto:gmctigue@cmpd.org"">gmctigue@cmpd.org</a></div>
<div>&nbsp;</div>",Metro Division,2015-07-16T19:00:00.000Z,1118 Beatties Ford Rd,233,false,2015-07-16T18:00:00.000Z,Metro Division Response Area 1 Community Leaders Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1118+beatties+ford+rd,+Charlotte,+NC",35.2535321,-80.8556387
131,,Metro Division,2015-07-04T11:00:00.000Z,RA3,234,false,2015-07-04T10:00:00.000Z,Lakewood Community Parade,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3,+Charlotte,+NC",35.2759366,-80.9045027
132,<div>*Meeting open to Eastover residents only* </div>,Providence Division,2015-07-28T19:30:00.000Z,Westminster Presbyterian Church - 101 Colville Rd ,235,true,2015-07-28T18:30:00.000Z,Deleted: Eastover Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"101+colville+rd,+Charlotte,+NC",35.2035205,-80.8180982
133,<div>quarterly neighborhood meeting</div>,Metro Division,2015-07-23T19:30:00.000Z,Wallace Priut Center 440 Tuckaseegee Rd.,236,false,2015-07-23T18:30:00.000Z,Seversville Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"440+tuckaseegee+rd,+Charlotte,+NC",35.2386019,-80.86482140000001
134,<div></div>,Metro Division,2015-07-13T20:00:00.000Z,1705 Rosa Parks Place,237,false,2015-07-13T19:00:00.000Z,Northwood Estates Neighborhood Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1705+rosa+parks+place,+Charlotte,+NC",35.273626,-80.856909
135,"National Night Out 
event 
",Westover Division,2015-08-04T08:00:00.000Z,1520 Clanton Rd Arbor Glen Center ,238,false,2015-08-04T06:00:00.000Z,National Night Out West Blvd Corridor ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1520+clanton+rd,+Charlotte,+NC",35.207113,-80.891826
136,"<div>Contact Officer Beth Jackson if needed-&nbsp; 704-544-4835</div>
<div>&nbsp;</div>
<div>meet with local residents and Officers on a personal level.&nbsp; There is not a set agenda, so we invite anyone and everyone to come join us and meet the person behind the badge.&nbsp; </div>",South Division,2015-07-30T20:00:00.000Z,"7715 Pineville-Matthews Road, space 34B",239,false,2015-07-30T18:00:00.000Z,Coffee with Cops at Amelie’s Bakery in Carmel Commons,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7715+pineville-matthews+road,+Charlotte,+NC",35.086284,-80.850639
137,<div></div>,Metro Division,2015-08-17T19:30:00.000Z,(Harvest Center) 1800 Brewton Dr,240,true,2015-08-17T18:30:00.000Z,Genesis Park Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1800+brewton+dr,+Charlotte,+NC",35.248101,-80.8420835
138,"<div>National Night Out Event</div>
<div>4702 Twisted Oaks Rd</div>
<div>Charlotte, NC 28212</div>",Hickory Grove Division,2015-08-12T19:00:00.000Z,"Wellington farms Apartmnets  4702 Twisted Oaks Rd. Charlotte, NC",242,false,2015-08-12T17:00:00.000Z,National Night Out Event,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4702+twisted+oaks+rd,+Charlotte,+NC",35.2220197,-80.7499539
139,<div>*Meeting open to Eastover residents only* </div>,Providence Division,2015-08-25T19:30:00.000Z,Westminster Presbyterian Church - 101 Colville Rd ,246,true,2015-08-25T18:30:00.000Z,Deleted: Eastover Neighborhood Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"101+colville+rd,+Charlotte,+NC",35.2035205,-80.8180982
140,<div>Safety Meeting with the staff and residents of Crescent Alexander Apartments.</div>,University City Division,2015-08-13T20:30:00.000Z,9224 Graham Ridge Drive,248,false,2015-08-13T19:00:00.000Z,Crescent Alexander Village Safety Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9224+graham+ridge+drive,+Charlotte,+NC",35.3334234,-80.752122
141,<div>National Night Out Event</div>,Eastway Division,2015-08-04T20:00:00.000Z,2541 Elkwood Circle,249,false,2015-08-04T18:00:00.000Z,Plaza Shamrock NNO,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2541+elkwood+circle,+Charlotte,+NC",35.23904,-80.784488
142,<div>Belmont and Villa Heights are partnering on National Night Out this year with a Popsicles in the Park event in Progress Park starting at 6 PM. </div>,Eastway Division,2015-08-04T19:00:00.000Z,Progress Park 1301 Parkwood Avenue,250,false,2015-08-04T18:00:00.000Z,Belmont and Villa Heights NNO,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1301+parkwood+avenue,+Charlotte,+NC",35.233346,-80.8123445
143,"<div>Winterfield Neighborhood Association National Night Out will be held on Tuesday, August 4 from 6pm to 8pm Hosted by John &amp; Diane Griffith at 3514 Rosehaven Dr.</div>",Eastway Division,2015-08-04T14:00:00.000Z,3514 Rosehaven Dr.,252,false,2015-08-04T13:00:00.000Z,Winterfield Neighborhood Association National Night Out ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3514+rosehaven+dr,+Charlotte,+NC",35.2064375,-80.7651527
144,<div>Kid Event at Daycare.</div>,University City Division,2015-08-06T14:30:00.000Z,TAPS Academy - 9100 Olmsted Dr,254,false,2015-08-06T13:30:00.000Z,Kid Event,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9100+olmsted+dr,+Charlotte,+NC",35.3118032,-80.7465151
145,<div>Contact Officers&nbsp;J.Simma &amp; B.K. Nicholson 704-432-6795</div>,Freedom Division,2015-08-24T20:00:00.000Z,4820 Tuckaseegee Rd. Tuck Rec Center ,256,true,2015-08-24T19:00:00.000Z,Heather Glenn Community ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4820+tuckaseegee+rd,+Charlotte,+NC",35.2485854,-80.9072497
146,,Independence Division,2015-08-29T11:00:00.000Z,7200 - 6800 block of Monroe Road,261,false,2015-08-29T09:00:00.000Z,Monroe Road Clean Up,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7200+-+6800+block+of+monroe+road,+Charlotte,+NC",35.1698645,-80.7568508
147,,Independence Division,2015-09-13T15:00:00.000Z,7617 Gayle Ave,262,false,2015-09-13T13:00:00.000Z,Woodberry Neighborhood Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"7617+gayle+ave,+Charlotte,+NC",35.1666625,-80.7500438
148,,Independence Division,2015-10-04T16:00:00.000Z,"Cokesbury United Methodist Church, 6701 Idlewild Road",263,false,2015-10-04T12:00:00.000Z,House of Worship Safety Seminar,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6701+idlewild+road,+Charlotte,+NC",35.18573800000001,-80.749854
149,"<div>Steele Creek Division <br />Response Area 2<br />Officer Cruz - <a href=""mailto:acruz@cmpd.org"">acruz@cmpd.org</a><br />Officer Redford </div>",Steele Creek Division,2015-08-20T20:00:00.000Z,Clubhouse - 1700 Longleaf Drive ,264,true,2015-08-20T19:00:00.000Z,Pinevalley Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1700+longleaf+drive,+Charlotte,+NC",35.1111708,-80.8765638
150,<div>neighborhood association meeting/dinner</div>,Independence Division,2015-09-24T19:00:00.000Z,Americana restaurant 1628 Matthews-Mint Hill Rd,266,false,2015-09-24T18:00:00.000Z,Olde Creek community neighborhood meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1628+matthews-mint+hill+rd,+Charlotte,+NC",35.1193819,-80.6952124
151,"<div>Officer Figaro </div>
<div>704-432-3900</div>",University City Division,2015-09-24T20:00:00.000Z,Shoppes @ University Place (8929 J M Keynes Dr),270,false,2015-09-24T17:30:00.000Z,Taste of University ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8929+j+m+keynes+dr,+Charlotte,+NC",35.3097729,-80.749416
152,<div>Wellness and Safety Fair for employees at the Electric Power Research Institute</div>,University City Division,2015-09-25T13:30:00.000Z,Electric Power Research Institute-1300 West WT Harris Bv,272,false,2015-09-25T11:30:00.000Z,EPRI Wellness Fair,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1300+west+wt+harris+bv,+Charlotte,+NC",35.3162818,-80.76664620000001
153,"<div>monthly meeting</div>
<div>Contacts - Officer Hudson - <a href=""mailto:dhudson1@cmpd.org"">dhudson1@cmpd.org</a></div>
<div>Officer Monroe - <a href=""mailto:lmonroe1@cmpd.org"">lmonroe1@cmpd.org</a></div>
<div>&nbsp;</div>",Metro Division,2098-12-11T19:00:00.000Z,1801 Oaklawn Ave. First Baptist West Church,275,true,2015-10-08T18:00:00.000Z,McCrorey Heights Neighborhood Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1801+oaklawn+ave,+Charlotte,+NC",35.2503432,-80.85118489999999
154,"<div>bi monthly meeting</div>
<div>Contacts - Officer Hudson - <a href=""mailto:dhudson1@cmpd.org"">dhudson1@cmpd.org</a></div>
<div>Officer Monroe - <a href=""mailto:lmonroe1@cmpd.org"">lmonroe1@cmpd.org</a></div>
<div>&nbsp;</div>",Metro Division,2015-09-17T19:30:00.000Z,100 S.Gregg St. Smallwood Presby Church,276,false,2015-09-17T18:30:00.000Z,Biddleville-Smallwood Neighborhood Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"100+s.gregg+st,+Charlotte,+NC",35.2487396,-80.864967
155,"<div>Women's Day at O'Zion AME Church</div>
<div>Contact Person: Jackie Mcclelland</div>
<div>Telephone# : 704-458-5497 </div>
<div>Ms. Mcclelland would like for officers to talk to the women of O’Zion AME Church about women’s safety. <br /></div>",Steele Creek Division,2015-09-20T13:00:00.000Z,19321 Hamilton Rd Charlotte NC,277,false,2015-09-20T12:00:00.000Z,Woman's Day O'Zion AME Church,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"19321+hamilton+rd,+Charlotte,+NC",35.083839,-81.00440820000001
156,"<div>Community Meeting/Pool Party</div>
<div>Officer Figaro 704-432-3900</div>",University City Division,2015-09-07T15:30:00.000Z,"2002 Laysan Teal Ln, Charlotte NC 28262",278,false,2015-09-07T14:30:00.000Z,Mallard Glen Apt Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2002+laysan+teal+ln,+Charlotte,+NC",35.331122,-80.737475
157,"<div>Officer Figaro </div>
<div>704-432-3900</div>",University City Division,2015-09-08T18:30:00.000Z,"8648 J W Clay Bv, Charlotte NC 28262",279,false,2015-09-08T17:30:00.000Z,Chick Fil A Kid Event,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"8648+j+w+clay+bv,+charlotte+nc+28262,+Charlotte,+NC",35.3103521,-80.75225189999999
158,"<div>Officer Figaro</div>
<div>704-432-3900</div>",University City Division,2015-11-09T20:00:00.000Z,3001 Morehead Rd - Mallard Creek Baptist Church,280,false,2015-11-09T19:00:00.000Z,The Settlements Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3001+morehead+rd,+Charlotte,+NC",35.353145,-80.7138949
159,"<div>(Metro Contacts) Officer Blackwood - <a href=""mailto:pblackwood@cmpd.org"">pblackwood@cmpd.org</a> <br />Officer McTigue - <a href=""mailto:gmctigue@cmpd.org"">gmctigue@cmpd.org</a></div>",Metro Division,2015-09-01T19:30:00.000Z,(The Gables)  1125 Kohler Ave ,281,true,2015-09-01T18:30:00.000Z,Druid Hills Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1125+kohler+ave,+Charlotte,+NC",35.2507441,-80.83405940000002
160,"<div>(Metro Contacts) Officer Blackwood - <a href=""mailto:pblackwood@cmpd.org"">pblackwood@cmpd.org</a> <br />Officer McTigue - <a href=""mailto:gmctigue@cmpd.org"">gmctigue@cmpd.org</a></div>",Metro Division,2015-09-02T13:00:00.000Z,(Hope Haven Inc) 3815 N.Tryon St,282,true,2015-09-02T12:00:00.000Z,Northend Business Partners Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3815+n.tryon+st,+Charlotte,+NC",35.2554939,-80.80041399999999
161,"<div>(Metro Contacts) Officer Blackwood - <a href=""mailto:pblackwood@cmpd.org"">pblackwood@cmpd.org</a> <br />Officer McTigue - <a href=""mailto:gmctigue@cmpd.org"">gmctigue@cmpd.org</a></div>",Metro Division,2015-09-14T20:00:00.000Z,(Jesus Christ Gospel Church) 210 Plymouth Ave ,283,true,2015-09-14T19:00:00.000Z,Lockwood Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"210+plymouth+ave,+Charlotte,+NC",35.240496,-80.827962
162,"<div>(Metro Contacts) Officer Blackwood - <a href=""mailto:pblackwood@cmpd.org"">pblackwood@cmpd.org</a> <br />Officer McTigue - <a href=""mailto:gmctigue@cmpd.org"">gmctigue@cmpd.org</a></div>",Metro Division,2015-09-21T19:30:00.000Z,(Harvest Center) 1800 Brewton Dr,284,true,2015-09-21T18:30:00.000Z,Genesis Park Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1800+brewton+dr,+Charlotte,+NC",35.248101,-80.8420835
163,"<div><a href=""mailto:kmsdesign@carolina.rr.com"">kmsdesign@carolina.rr.com</a>&nbsp;- Chantilly Contact Person</div>",Providence Division,2015-09-17T20:00:00.000Z,2101 SHENANDOAH AVENUE,286,false,2015-09-17T19:00:00.000Z,Chantilly HOA Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2101+shenandoah+avenue,+Charlotte,+NC",35.2165897,-80.81195509999999
164,<div></div>,Providence Division,2015-09-21T20:00:00.000Z,"St. John’s Baptist Church, 5th Street at Hawthorne, Broach Hall",287,false,2015-09-21T18:30:00.000Z,Elizabeth Annual Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5th+street,+Charlotte,+NC",35.2357102,-80.85145159999999
165,"<div>Steele Creek Division <br />Response Area 2<br />Officer Cruz - <a href=""mailto:acruz@cmpd.org"">acruz@cmpd.org</a><br />Officer Redford </div>",Steele Creek Division,2015-09-17T17:00:00.000Z,Clubhouse - 1700 Longleaf Drive ,291,true,2015-09-17T16:00:00.000Z,Pinevalley Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1700+longleaf+drive,+Charlotte,+NC",35.1111708,-80.8765638
166,"<div>Officer Figaro</div>
<div>704-432-3900</div>",University City Division,2015-09-18T11:00:00.000Z,2502 Salome Church Rd,292,false,2015-09-18T09:00:00.000Z,Bradford Prep School Cyber Bullying Presentation,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2502+salome+church+rd,+Charlotte,+NC",35.34508,-80.7192527
167,<div></div>,Independence Division,2015-10-27T20:00:00.000Z,6701 Idlewild Rd. Cokesbury United Methodist church,295,false,2015-10-27T19:00:00.000Z,Easthaven Neighborhood community meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6701+idlewild+rd,+Charlotte,+NC",35.18573800000001,-80.749854
168,"<p>HOA meeting</p>
<p>Contact Officer S. Mohammad</p>",Westover Division,2015-09-28T20:00:00.000Z,2525 Archdale Dr,298,false,2015-09-28T19:00:00.000Z,Montclaire,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2525+archdale+dr,+Charlotte,+NC",35.148094,-80.859534
169,"<div>Community meeting</div>
<div>Contact Officer S. Mohammad</div>",Westover Division,2015-10-16T17:30:00.000Z,6614 Wisteria Dr,299,false,2015-10-16T16:30:00.000Z,Grand Oaks Apartments crime meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6614+wisteria+dr,+Charlotte,+NC",35.1444087,-80.8734297
170,"<div>Meeting with Apartment managers and staff, along with any property managers of communities</div>",Hickory Grove Division,2015-10-08T10:00:00.000Z,Wellington Farms Apartments   4700 Twisted Oaks Dr,300,false,2015-10-08T09:00:00.000Z,Apartment managers Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4700+twisted+oaks+dr,+Charlotte,+NC",35.2221521,-80.748615
171,<div>Contact Officer Beth Jackson 704-544-4835 </div>,South Division,2015-10-07T12:00:00.000Z,5900 Quail Hollow Road ,305,false,2015-10-07T10:00:00.000Z,Harris YMCA Kids Program,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5900+quail+hollow+road,+Charlotte,+NC",35.1322012,-80.8396818
172,<div>Contact Officer Beth Jackson 704-544-4835 </div>,South Division,2015-10-10T18:30:00.000Z,4301 Windwood Circle ,306,false,2015-10-10T16:30:00.000Z,Windwood Circle Fall Picnic,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4301+windwood+circle,+Charlotte,+NC",35.1050174,-80.8372383
173,<div>Contact Officer Beth Jackson 704-544-4835</div>,South Division,2015-10-12T20:30:00.000Z,6149 Rhone Drive ,307,false,2015-10-12T18:30:00.000Z,Arbor Estates Neighborhood Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"6149+rhone+drive,+Charlotte,+NC",35.1273079,-80.7851926
174,<div>Contact Officer Beth Jackson 704-544-4835</div>,South Division,2015-10-05T21:00:00.000Z,IHOP-9940 Pineville Matthews Road,308,false,2015-10-05T19:00:00.000Z,Shadowlake Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9940+pineville+matthews+road,+Charlotte,+NC",35.0856153,-80.8847767
175,<div></div>,Providence Division,2098-12-04T19:00:00.000Z,2024 E. 7th St - Studio K,309,true,2015-10-01T18:30:00.000Z,Elizabeth HOA,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2024+e.+7th+st+-+st,+Charlotte,+NC",35.2116546,-80.8175791
176,"<div>Proper use of 911 communication<br />Contact info Lisa O’Donnell 980-422-6129</div>
<div>12+ girls<br /></div>",South Division,2015-10-26T16:30:00.000Z,10140 Providence Church at Providence Presbyterian Church,312,false,2015-10-26T15:30:00.000Z,Brownie Troop Safety Presentation,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"10140+providence+church+at+providence+presbyterian+church,+Charlotte,+NC",35.0717255,-80.7720578
177,"<div>Lt. Christian Wagner</div>
<div><a href=""mailto:cwagner@cmpd.org"">cwagner@cmpd.org</a></div>
<div>704-336-8535</div>",Eastway Division,2015-09-24T20:00:00.000Z,"Commonwealth Methodist Church, 2434 Commonwealth Ave.",313,false,2015-09-24T19:00:00.000Z,Commonwealth Morningside Neigh. Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2434+commonwealth+ave,+Charlotte,+NC",35.2147575,-80.80492210000001
178,"<div>Please be informed that Keswick Carriage Homes annual meeting will be held Tuesday November 10, 2015 at 6:00pm at the South County Regional Library on Rea Road.</div>
<div>Harvey Klipper<br /></div>
<div>contact Officer James Russell 704-544-4835 </div>",South Division,2015-11-10T19:00:00.000Z,5801 Rea Rd (Library),314,false,2015-11-10T18:00:00.000Z,Keswick Carriage HOA meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5801+rea+rd,+Charlotte,+NC",35.0865451,-80.8115699
179,"<div>monthly neighborhood&nbsp;meeting</div>
<div>Contacts - Officer Hudson - <a href=""mailto:dhudson1@cmpd.org"">dhudson1@cmpd.org</a></div>
<div>Officer Monroe - <a href=""mailto:lmonroe1@cmpd.org"">lmonroe1@cmpd.org</a></div>
<div>&nbsp;</div>",Metro Division,2098-12-04T20:00:00.000Z,1729 Griers Grove Rd. (Stonewall AME Church),315,true,2015-10-01T19:00:00.000Z,Garden Park Association,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1729+griers+grove+rd,+Charlotte,+NC",35.283641,-80.861706
180,<div>Intial neighborhood walk thru for the Beatties Ford Rd. Crime Watch. Members will meet at the Metro Office and conduct a walk thru of the neighborhoods.</div>,Metro Division,2015-10-17T12:00:00.000Z,1118 Beatties Ford Rd. (Metro Division Office),316,false,2015-10-17T10:00:00.000Z,Beatties Ford Rd. Crime Watch Walk,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"1118+beatties+ford+rd,+Charlotte,+NC",35.2535321,-80.8556387
181,"<div>Lt. Luke Sell</div>
<div><a href=""mailto:lsell@cmpd.org"">lsell@cmpd.org</a></div>",Eastway Division,2015-10-01T20:00:00.000Z,2019 Shamrock Dr.,317,false,2015-10-01T19:00:00.000Z,Plaza/Shamrock neighborhood meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"2019+shamrock+dr,+Charlotte,+NC",35.235584,-80.788854
182,"<div>Lt. Luke Sell</div>
<div><a href=""mailto:lsell@cmpd.org"">lsell@cmpd.org</a></div>",Eastway Division,2015-10-06T19:30:00.000Z,Salvation Army (901 Belmont Ave) ,318,true,2015-10-06T18:30:00.000Z,Belmont Community Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"901+belmont+ave,+Charlotte,+NC",35.2286364,-80.82147239999999
183,"<div>Lt. Luke Sell</div>
<div><a href=""mailto:lsell@cmpd.org"">lsell@cmpd.org</a></div>",Eastway Division,2015-10-12T19:30:00.000Z,YMCA (3025 N. Davidson St.),319,false,2015-10-12T18:30:00.000Z,NoDa neighborhood meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"3025+n.+davidson+st,+Charlotte,+NC",35.2465548,-80.8081046
184,<div></div>,Providence Division,2015-10-21T19:30:00.000Z,St. John's Methodist - at 4305 Monroe Rd ,320,true,2015-10-21T18:30:00.000Z,Anthem Courts HOA Meeting ,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"4305+monroe+rd,+Charlotte,+NC",35.1955777,-80.78763769999999
185,"<p>Thanks to you both for coming out this past Tuesday. You make our conversations especially lively! We are having our annual Sweet and Greet on October 16th from 6:00-8:00 at Donna's house 5362 Buena Vista.<br />I know your both so busy so hopefully this can make it on your calendar.<br />Best Regards,<br />Amy Harris</p>
<p><br />&nbsp;</p>",Providence Division,2015-10-16T20:00:00.000Z,5362 Buena Vista.,322,false,2015-10-16T18:00:00.000Z,"Amity Gardens ""Sweet and Great"" ",2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"5362+buena+vista.,+Charlotte,+NC",35.1928128,-80.7701393
186,"<div>Community Meeting</div>
<div>Officer Figaro </div>
<div>704-432-3900</div>",University City Division,2015-10-23T19:00:00.000Z,10210 Berkeley Place Dr,323,false,2015-10-23T18:00:00.000Z,Community Meeting @ Red Bow Fitness,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"10210+berkeley+place+dr,+Charlotte,+NC",35.3275867,-80.73950049999999
187,<div>Officer Figaro<br />704-432-3900</div>,University City Division,2015-10-19T20:00:00.000Z,9116 University City Bv (CrossPoint Worship Center),324,false,2015-10-19T19:00:00.000Z,College Downs Community Meeting,2018-04-06T09:02:31.925Z,CharlotteNC,2018-04-06T09:02:31.925Z,CharlotteNC,"9116+university+city+bv+(crosspoint+worship+center),+Charlotte,+NC",35.3013541,-80.72988389999999
